word1,word2,word3,word4,category
man,woman,king,queen,gender
man,woman,brother,sister,gender
man,woman,uncle,aunt,gender
boy,girl,father,mother,gender
man,woman,he,she,gender
Paris,France,London,England,capital-country
Paris,France,Berlin,Germany,capital-country
Paris,France,Rome,Italy,capital-country
Tokyo,Japan,Beijing,China,capital-country
Madrid,Spain,Athens,Greece,capital-country
walk,walking,swim,swimming,grammar
walk,walked,swim,swam,grammar
good,better,bad,worse,grammar
big,bigger,small,smaller,grammar
quick,quickly,slow,slowly,grammar
dog,puppy,cat,kitten,animal-young
cow,calf,chicken,chick,animal-young
horse,foal,sheep,lamb,animal-young
lion,cub,bear,cub,animal-young
deer,fawn,goose,gosling,animal-young
add,addition,subtract,subtraction,math
multiply,multiplication,divide,division,math
square,squared,cube,cubed,math
plus,addition,minus,subtraction,math
one,first,two,second,ordinal
